左x,左y,右x,右y,右x-左x,右y-左y
153,108,0,0,-153,-108
154,107,1,0,-153,-107
155,106,2,0,-153,-106
157,107,3,0,-154,-107
157,107,4,0,-153,-107
159,107,5,0,-154,-107
160,107,6,0,-154,-107
162,107,7,0,-155,-107
164,107,8,0,-156,-107
165,107,9,0,-156,-107
166,106,10,0,-156,-106
166,106,11,0,-155,-106
167,106,12,0,-155,-106
169,107,13,0,-156,-107
170,108,14,0,-156,-108
170,108,15,0,-155,-108
171,107,16,0,-155,-107
172,107,17,0,-155,-107
174,106,18,0,-156,-106
176,106,19,0,-157,-106
177,105,20,0,-157,-105
178,104,21,0,-157,-104
179,103,22,0,-157,-103
179,103,23,0,-156,-103
179,103,24,0,-155,-103
179,103,25,0,-154,-103
181,103,26,0,-155,-103
153,108,0,1,-153,-107
154,108,1,1,-153,-107
156,107,2,1,-154,-106
157,107,3,1,-154,-106
158,108,4,1,-154,-107
158,108,5,1,-153,-107
159,108,6,1,-153,-107
161,108,7,1,-154,-107
163,109,8,1,-155,-108
164,109,9,1,-155,-108
165,108,10,1,-155,-107
166,107,11,1,-155,-106
168,108,12,1,-156,-107
168,108,13,1,-155,-107
170,108,14,1,-156,-107
170,108,15,1,-155,-107
171,107,16,1,-155,-106
172,107,17,1,-155,-106
174,107,18,1,-156,-106
175,107,19,1,-156,-106
176,107,20,1,-156,-106
177,106,21,1,-156,-105
178,105,22,1,-156,-104
180,104,23,1,-157,-103
180,104,24,1,-156,-103
180,104,25,1,-155,-103
181,104,26,1,-155,-103
153,108,0,2,-153,-106
155,109,1,2,-154,-107
157,109,2,2,-155,-107
158,108,3,2,-155,-106
159,109,4,2,-155,-107
159,109,5,2,-154,-107
160,109,6,2,-154,-107
162,109,7,2,-155,-107
163,110,8,2,-155,-108
164,110,9,2,-155,-108
165,109,10,2,-155,-107
167,108,11,2,-156,-106
168,108,12,2,-156,-106
168,108,13,2,-155,-106
170,108,14,2,-156,-106
170,108,15,2,-155,-106
171,108,16,2,-155,-106
172,107,17,2,-155,-105
174,107,18,2,-156,-105
175,107,19,2,-156,-105
176,107,20,2,-156,-105
178,107,21,2,-157,-105
179,107,22,2,-157,-105
181,106,23,2,-158,-104
181,106,24,2,-157,-104
181,106,25,2,-156,-104
181,106,26,2,-155,-104
153,109,0,3,-153,-106
155,110,1,3,-154,-107
157,109,2,3,-155,-106
159,109,3,3,-156,-106
160,110,4,3,-156,-107
160,110,5,3,-155,-107
161,110,6,3,-155,-107
163,110,7,3,-156,-107
164,111,8,3,-156,-108
165,111,9,3,-156,-108
166,111,10,3,-156,-108
167,110,11,3,-156,-107
167,110,12,3,-155,-107
167,110,13,3,-154,-107
169,109,14,3,-155,-106
170,110,15,3,-155,-107
170,110,16,3,-154,-107
171,109,17,3,-154,-106
173,109,18,3,-155,-106
175,109,19,3,-156,-106
175,109,20,3,-155,-106
177,108,21,3,-156,-105
178,109,22,3,-156,-106
180,108,23,3,-157,-105
181,108,24,3,-157,-105
181,108,25,3,-156,-105
181,108,26,3,-155,-105
152,110,0,4,-152,-106
154,111,1,4,-153,-107
156,111,2,4,-154,-107
158,111,3,4,-155,-107
160,111,4,4,-156,-107
161,111,5,4,-156,-107
162,111,6,4,-156,-107
164,111,7,4,-157,-107
164,111,8,4,-156,-107
165,112,9,4,-156,-108
166,111,10,4,-156,-107
168,111,11,4,-157,-107
168,111,12,4,-156,-107
168,111,13,4,-155,-107
169,111,14,4,-155,-107
170,110,15,4,-155,-106
170,110,16,4,-154,-106
170,110,17,4,-153,-106
172,110,18,4,-154,-106
174,111,19,4,-155,-107
174,111,20,4,-154,-107
176,110,21,4,-155,-106
177,111,22,4,-155,-107
179,110,23,4,-156,-106
180,110,24,4,-156,-106
180,110,25,4,-155,-106
180,110,26,4,-154,-106
151,111,0,5,-151,-106
153,112,1,5,-152,-107
155,113,2,5,-153,-108
157,112,3,5,-154,-107
159,113,4,5,-155,-108
160,112,5,5,-155,-107
162,112,6,5,-156,-107
164,111,7,5,-157,-106
164,111,8,5,-156,-106
165,112,9,5,-156,-107
165,112,10,5,-155,-107
167,112,11,5,-156,-107
167,112,12,5,-155,-107
168,112,13,5,-155,-107
170,112,14,5,-156,-107
171,112,15,5,-156,-107
171,112,16,5,-155,-107
171,112,17,5,-154,-107
173,111,18,5,-155,-106
175,112,19,5,-156,-107
175,112,20,5,-155,-107
177,112,21,5,-156,-107
177,112,22,5,-155,-107
178,112,23,5,-155,-107
180,112,24,5,-156,-107
180,112,25,5,-155,-107
181,112,26,5,-155,-107
151,111,0,6,-151,-105
153,112,1,6,-152,-106
155,113,2,6,-153,-107
157,113,3,6,-154,-107
159,113,4,6,-155,-107
161,114,5,6,-156,-108
162,114,6,6,-156,-108
164,113,7,6,-157,-107
164,113,8,6,-156,-107
165,112,9,6,-156,-106
166,113,10,6,-156,-107
168,113,11,6,-157,-107
168,113,12,6,-156,-107
168,113,13,6,-155,-107
170,113,14,6,-156,-107
172,113,15,6,-157,-107
172,113,16,6,-156,-107
172,113,17,6,-155,-107
174,112,18,6,-156,-106
175,113,19,6,-156,-107
176,113,20,6,-156,-107
177,112,21,6,-156,-106
177,112,22,6,-155,-106
178,113,23,6,-155,-107
180,112,24,6,-156,-106
181,113,25,6,-156,-107
182,113,26,6,-156,-107
152,113,0,7,-152,-106
154,113,1,7,-153,-106
155,113,2,7,-153,-106
157,113,3,7,-154,-106
159,113,4,7,-155,-106
161,114,5,7,-156,-107
162,114,6,7,-156,-107
