左x,左y,右x,右y,右x-左x,右y-左y
148,103,0,0,-148,-103
150,102,1,0,-149,-102
152,102,2,0,-150,-102
153,103,3,0,-150,-103
155,103,4,0,-151,-103
156,104,5,0,-151,-104
158,104,6,0,-152,-104
158,104,7,0,-151,-104
158,104,8,0,-150,-104
160,105,9,0,-151,-105
161,105,10,0,-151,-105
162,105,11,0,-151,-105
164,104,12,0,-152,-104
166,104,13,0,-153,-104
168,103,14,0,-154,-103
169,102,15,0,-154,-102
169,102,16,0,-153,-102
169,102,17,0,-152,-102
170,103,18,0,-152,-103
172,102,19,0,-153,-102
173,103,20,0,-153,-103
174,103,21,0,-153,-103
175,103,22,0,-153,-103
177,103,23,0,-154,-103
178,103,24,0,-154,-103
179,103,25,0,-154,-103
180,103,26,0,-154,-103
181,103,27,0,-154,-103
147,105,0,1,-147,-104
149,104,1,1,-148,-103
151,104,2,1,-149,-103
152,105,3,1,-149,-104
154,105,4,1,-150,-104
156,106,5,1,-151,-105
158,106,6,1,-152,-105
158,106,7,1,-151,-105
159,105,8,1,-151,-104
161,106,9,1,-152,-105
162,106,10,1,-152,-105
163,107,11,1,-152,-106
165,106,12,1,-153,-105
167,106,13,1,-154,-105
169,105,14,1,-155,-104
170,104,15,1,-155,-103
170,104,16,1,-154,-103
170,104,17,1,-153,-103
171,104,18,1,-153,-103
171,104,19,1,-152,-103
173,105,20,1,-153,-104
175,105,21,1,-154,-104
175,105,22,1,-153,-104
177,104,23,1,-154,-103
178,104,24,1,-154,-103
179,103,25,1,-154,-102
180,103,26,1,-154,-102
181,104,27,1,-154,-103
147,107,0,2,-147,-105
149,106,1,2,-148,-104
151,106,2,2,-149,-104
152,107,3,2,-149,-105
153,106,4,2,-149,-104
155,107,5,2,-150,-105
157,107,6,2,-151,-105
157,107,7,2,-150,-105
158,107,8,2,-150,-105
160,107,9,2,-151,-105
162,108,10,2,-152,-106
164,108,11,2,-153,-106
164,108,12,2,-152,-106
166,108,13,2,-153,-106
168,107,14,2,-154,-105
169,106,15,2,-154,-104
169,106,16,2,-153,-104
169,106,17,2,-152,-104
170,106,18,2,-152,-104
170,106,19,2,-151,-104
172,107,20,2,-152,-105
174,106,21,2,-153,-104
174,106,22,2,-152,-104
176,106,23,2,-153,-104
178,105,24,2,-154,-103
179,104,25,2,-154,-102
179,104,26,2,-153,-102
181,105,27,2,-154,-103
147,109,0,3,-147,-106
149,108,1,3,-148,-105
151,107,2,3,-149,-104
153,108,3,3,-150,-105
153,108,4,3,-149,-105
154,108,5,3,-149,-105
156,108,6,3,-150,-105
156,108,7,3,-149,-105
157,108,8,3,-149,-105
159,108,9,3,-150,-105
161,109,10,3,-151,-106
163,110,11,3,-152,-107
165,109,12,3,-153,-106
166,110,13,3,-153,-107
167,109,14,3,-153,-106
168,108,15,3,-153,-105
168,108,16,3,-152,-105
168,108,17,3,-151,-105
170,108,18,3,-152,-105
170,108,19,3,-151,-105
172,108,20,3,-152,-105
174,107,21,3,-153,-104
175,107,22,3,-153,-104
176,107,23,3,-153,-104
177,106,24,3,-153,-103
179,106,25,3,-154,-103
180,105,26,3,-154,-102
181,105,27,3,-154,-102
148,110,0,4,-148,-106
149,110,1,4,-148,-106
151,109,2,4,-149,-105
153,109,3,4,-150,-105
154,109,4,4,-150,-105
154,109,5,4,-149,-105
155,109,6,4,-149,-105
157,109,7,4,-150,-105
158,109,8,4,-150,-105
160,109,9,4,-151,-105
162,110,10,4,-152,-106
164,111,11,4,-153,-107
164,111,12,4,-152,-107
165,112,13,4,-152,-108
166,111,14,4,-152,-107
167,110,15,4,-152,-106
167,110,16,4,-151,-106
167,110,17,4,-150,-106
169,109,18,4,-151,-105
169,109,19,4,-150,-105
171,109,20,4,-151,-105
173,109,21,4,-152,-105
175,109,22,4,-153,-105
177,108,23,4,-154,-104
177,108,24,4,-153,-104
178,107,25,4,-153,-103
180,107,26,4,-154,-103
181,106,27,4,-154,-102
148,112,0,5,-148,-107
148,112,1,5,-147,-107
150,111,2,5,-148,-106
152,110,3,5,-149,-105
153,110,4,5,-149,-105
154,110,5,5,-149,-105
155,109,6,5,-149,-104
156,110,7,5,-149,-105
158,110,8,5,-150,-105
160,110,9,5,-151,-105
162,110,10,5,-152,-105
164,111,11,5,-153,-106
164,111,12,5,-152,-106
165,112,13,5,-152,-107
166,111,14,5,-152,-106
167,110,15,5,-152,-105
167,110,16,5,-151,-105
167,110,17,5,-150,-105
169,109,18,5,-151,-104
169,109,19,5,-150,-104
170,110,20,5,-150,-105
172,110,21,5,-151,-105
174,110,22,5,-152,-105
176,110,23,5,-153,-105
178,109,24,5,-154,-104
179,109,25,5,-154,-104
179,109,26,5,-153,-104
181,108,27,5,-154,-103
149,113,0,6,-149,-107
149,113,1,6,-148,-107
150,112,2,6,-148,-106
151,111,3,6,-148,-105
153,111,4,6,-149,-105
154,111,5,6,-149,-105
155,111,6,6,-149,-105
156,111,7,6,-149,-105
158,111,8,6,-150,-105
160,111,9,6,-151,-105
162,111,10,6,-152,-105
164,111,11,6,-153,-105
164,111,12,6,-152,-105
165,112,13,6,-152,-106
166,111,14,6,-152,-105
167,111,15,6,-152,-105
167,111,16,6,-151,-105
168,111,17,6,-151,-105
168,111,18,6,-150,-105
170,110,19,6,-151,-104
170,110,20,6,-150,-104
171,111,21,6,-150,-105
173,111,22,6,-151,-105
