左x,左y,右x,右y,右x-左x,右y-左y
7,2,0,0,-7,-2
9,2,1,0,-8,-2
10,2,2,0,-8,-2
10,2,3,0,-7,-2
11,3,4,0,-7,-3
11,3,5,0,-6,-3
13,2,6,0,-7,-2
14,1,7,0,-7,-1
14,1,8,0,-6,-1
16,1,9,0,-7,-1
16,1,10,0,-6,-1
16,1,11,0,-5,-1
17,2,12,0,-5,-2
18,2,13,0,-5,-2
20,1,14,0,-6,-1
21,1,15,0,-6,-1
21,1,16,0,-5,-1
21,1,17,0,-4,-1
23,1,18,0,-5,-1
24,1,19,0,-5,-1
26,1,20,0,-6,-1
26,1,21,0,-5,-1
26,1,22,0,-4,-1
28,0,23,0,-5,0
28,0,24,0,-4,0
28,0,25,0,-3,0
29,1,26,0,-3,-1
29,1,27,0,-2,-1
32,1,28,0,-4,-1
34,2,29,0,-5,-2
35,1,30,0,-5,-1
37,1,31,0,-6,-1
37,1,32,0,-5,-1
38,1,33,0,-5,-1
38,1,34,0,-4,-1
39,0,35,0,-4,0
41,1,36,0,-5,-1
41,1,37,0,-4,-1
44,1,38,0,-6,-1
44,1,39,0,-5,-1
47,1,40,0,-7,-1
47,1,41,0,-6,-1
47,1,42,0,-5,-1
47,1,43,0,-4,-1
49,0,44,0,-5,0
49,0,45,0,-4,0
50,0,46,0,-4,0
52,0,47,0,-5,0
53,1,48,0,-5,-1
54,2,49,0,-5,-2
55,1,50,0,-5,-1
55,1,51,0,-4,-1
56,0,52,0,-4,0
57,0,53,0,-4,0
57,0,54,0,-3,0
58,0,55,0,-3,0
60,1,56,0,-4,-1
60,1,57,0,-3,-1
62,0,58,0,-4,0
64,1,59,0,-5,-1
64,1,60,0,-4,-1
65,1,61,0,-4,-1
67,1,62,0,-5,-1
67,1,63,0,-4,-1
69,0,64,0,-5,0
71,1,65,0,-6,-1
71,1,66,0,-5,-1
72,0,67,0,-5,0
72,0,68,0,-4,0
74,1,69,0,-5,-1
74,1,70,0,-4,-1
74,1,71,0,-3,-1
76,1,72,0,-4,-1
76,1,73,0,-3,-1
78,0,74,0,-4,0
80,1,75,0,-5,-1
80,1,76,0,-4,-1
80,1,77,0,-3,-1
80,1,78,0,-2,-1
82,1,79,0,-3,-1
82,1,80,0,-2,-1
83,0,81,0,-2,0
85,0,82,0,-3,0
87,1,83,0,-4,-1
87,1,84,0,-3,-1
88,2,85,0,-3,-2
88,2,86,0,-2,-2
88,2,87,0,-1,-2
90,2,88,0,-2,-2
91,2,89,0,-2,-2
93,2,90,0,-3,-2
94,2,91,0,-3,-2
94,2,92,0,-2,-2
94,2,93,0,-1,-2
94,2,94,0,0,-2
95,3,95,0,0,-3
96,4,96,0,0,-4
97,5,97,0,0,-5
98,6,98,0,0,-6
99,7,99,0,0,-7
7,2,0,1,-7,-1
8,3,1,1,-7,-2
9,4,2,1,-7,-3
10,3,3,1,-7,-2
11,3,4,1,-7,-2
